# 0.5-189.5 from TIMED/SEE 2002-03-22. 190.5+ from SORCE SOLSTICE 2015-06-04
# wavelength (nm) irradiance (W/m^2/nm)
0.5 1.6093094018288E-05
1.5 0.000242522204644047
2.5 7.68365352996625E-05
3.5 4.40829098806717E-05
4.5 6.97808500262909E-05
5.5 6.0165210015839E-05
6.5 6.89794542267919E-05
7.5 0.000124632671941072
8.5 0.000107250598375686
9.5 8.21674475446343E-05
10.5 5.69411131436937E-05
11.5 3.65513333235867E-05
12.5 2.19383873627521E-05
13.5 2.23280621867161E-05
14.5 4.60828778159339E-05
15.5 5.10773788846564E-05
16.5 9.97911847662181E-05
17.5 0.000492694322019815
18.5 0.000306581816403195
19.5 0.000282552267890424
20.5 0.000223413691855967
21.5 0.000193804706213996
22.5 0.000174645392689854
23.5 9.92525456240401E-05
24.5 0.000129979249322787
25.5 0.000210196361877024
26.5 8.90724622877315E-05
27.5 6.64973704260774E-05
28.5 0.000137563183670864
29.5 6.15226745139807E-05
30.5 0.0007258381228894
31.5 7.54225475247949E-05
32.5 3.30991097143851E-05
33.5 0.000167167658219114
34.5 8.93997566890903E-05
35.5 0.000101695281045977
36.5 0.000163403135957196
37.5 3.00112187687773E-05
38.5 1.40640304380213E-05
39.5 9.1905749286525E-06
40.5 1.1044658094761E-05
41.5 1.78750942723127E-05
42.5 8.20623426989187E-06
43.5 1.31241367853363E-05
44.5 1.1059390999435E-05
45.5 9.4369133876171E-06
46.5 2.09927202377003E-05
47.5 1.15618322524824E-05
48.5 1.86755842150887E-05
49.5 3.61003549187444E-05
50.5 3.25351902574766E-05
51.5 1.38062869154965E-05
52.5 1.67681464517955E-05
53.5 9.74242175288964E-06
54.5 6.9115149017307E-06
55.5 2.74458834610414E-05
56.5 8.23051232146099E-06
57.5 8.03087459644303E-06
58.5 6.23007144895382E-05
59.5 9.81510675046593E-06
60.5 2.91780834231758E-05
61.5 2.32161837629974E-05
62.5 4.55723493359983E-05
63.5 3.35974145855289E-05
64.5 5.53318113816204E-06
65.5 4.86458611703711E-06
66.5 5.52276924281614E-06
67.5 4.50660490969312E-06
68.5 8.11805330158677E-06
69.5 7.24800065654563E-06
70.5 1.30329908643034E-05
71.5 5.60749958822271E-06
72.5 6.55431949780905E-06
73.5 3.95215829485096E-06
74.5 5.44269823876675E-06
75.5 7.12399923941121E-06
76.5 1.70686034834944E-05
77.5 1.70196744875284E-05
78.5 2.28277349378914E-05
79.5 1.65706569532631E-05
80.5 1.44127670864691E-05
81.5 1.52538177644601E-05
82.5 1.90508399100509E-05
83.5 4.1782343032537E-05
84.5 2.7386598958401E-05
85.5 3.44990185112692E-05
86.5 3.96059003833216E-05
87.5 4.93449115310796E-05
88.5 5.97150246903766E-05
89.5 7.2008122515399E-05
90.5 8.70210205903277E-05
91.5 7.40436371415853E-05
92.5 2.20192414417397E-05
93.5 2.31243211601395E-05
94.5 1.68536680575926E-05
95.5 1.35748214233899E-05
96.5 9.93127196124988E-06
97.5 0.000199837959371507
98.5 1.99280220840592E-05
99.5 3.04899094771827E-05
100.5 1.6901183698792E-05
101.5 1.79743838089053E-05
102.5 0.000174567845533602
103.5 0.00014477527292911
104.5 2.60348988376791E-05
105.5 2.06455260922667E-05
106.5 2.15618219954194E-05
107.5 2.47172629315173E-05
108.5 3.96016766899265E-05
109.5 2.8290491172811E-05
110.5 3.16208170261234E-05
111.5 2.99450657621492E-05
112.5 3.0637915187981E-05
113.5 0.0000212557552004
114.5 2.43945432885084E-05
115.5 2.75333295576274E-05
116.5 2.93606171908323E-05
117.5 0.000112433757749386
118.5 4.11659966630396E-05
119.5 7.46974110370502E-05
120.5 0.000254879909334704
121.5 0.0106330644339323
122.5 9.00851446203887E-05
123.5 5.84331646678038E-05
124.5 4.30680374847725E-05
125.5 3.77154574380256E-05
126.5 5.63157664146274E-05
127.5 2.67095401795814E-05
128.5 2.0820432837354E-05
129.5 3.03721699310699E-05
130.5 0.000175902401679195
131.5 2.92312270175898E-05
132.5 2.3814112864784E-05
133.5 0.000274004472885281
134.5 2.27889067900833E-05
135.5 4.90247548441403E-05
136.5 3.21200204780325E-05
137.5 3.43400388373993E-05
138.5 3.33833850163501E-05
139.5 0.00010258025577059
140.5 8.43701200210489E-05
141.5 4.56328307336662E-05
142.5 4.84415468235966E-05
143.5 5.49999604118057E-05
144.5 5.34734572283924E-05
145.5 5.78640101593919E-05
146.5 6.91764726070687E-05
147.5 8.66716582095251E-05
148.5 8.62945598782972E-05
149.5 7.72461498854682E-05
150.5 8.78830906003714E-05
151.5 9.42892947932705E-05
152.5 0.000121753640996758
153.5 0.000135653783218004
154.5 0.000242186433752067
155.5 0.00020978860266041
156.5 0.000193865154869854
157.5 0.000177255104063079
158.5 0.000168934027897194
159.5 0.000164862518431619
160.5 0.000187343204743229
161.5 0.00021775187633466
162.5 0.000254352897172794
163.5 0.000271966797299683
164.5 0.000330868671881035
165.5 0.00049852830125019
166.5 0.000340523023623973
167.5 0.000419917370891199
168.5 0.000432552013080567
169.5 0.000573776836972684
170.5 0.000657932832837105
171.5 0.000662818260025233
172.5 0.000737326568923891
173.5 0.000735702342353761
174.5 0.000897332094609737
175.5 0.00110803847201169
176.5 0.00118339306209236
177.5 0.00145393656566739
178.5 0.00163111777510494
179.5 0.0016778651624918
180.5 0.00215070019476116
181.5 0.00259328144602478
182.5 0.00244544399902225
183.5 0.00261185574345291
184.5 0.00226769549772143
185.5 0.00257603731006384
186.5 0.0029874483589083
187.5 0.00329425977542996
188.5 0.00333123165182769
189.5 0.0026602407451719
190.5 0.003925597
191.5 0.004252313
192.5 0.004529267
193.5 0.003488296
194.5 0.005767977
195.5 0.005607217
